published_at,title,description,source,url,ticker,date,market_date
2026-04-16 20:24:50+00:00,Talk Python to Me: #545: OWASP Top 10 (2025 List) for Python Devs,"The OWASP Top 10 just got a fresh update, and there are some big changes: supply chain attacks, exceptional condition handling, and more. Tanya Janca is back on Talk Python to walk us through every single one of them. And we're not just talking theory, we're …",Talkpython.fm,https://talkpython.fm/episodes/show/545/owasp-top-10-2025-list-for-python-devs,MSFT,2026-04-16,2026-04-17
2026-04-16 20:19:31+00:00,New Microsoft Defender “RedSun” zero-day PoC grants SYSTEM privileges,"A researcher known as ""Chaotic Eclipse"" has published a proof-of-concept exploit for a second Microsoft Defender zero-day, dubbed ""RedSun,"" in the past two weeks, protesting how the company works with cybersecurity researchers. [...]",BleepingComputer,https://www.bleepingcomputer.com/news/microsoft/new-microsoft-defender-redsun-zero-day-poc-grants-system-privileges/,MSFT,2026-04-16,2026-04-17
2026-04-16 20:03:39+00:00,Clean Up With $250 Off This Roborock Qrevo Series Vacuum And Mop,"As we work our way through 2026, it's time that we didn't have to clean our own homes. Robots can help, and this deal gets you a robot vacuum and mop in one with a sizable $250 discount. It means that you can pick up this deal and pay just $399.99 for your ne…",redmondpie.com,https://www.redmondpie.com/clean-up-with-250-off-this-roborock-qrevo-series-vacuum-and-mop/,MSFT,2026-04-16,2026-04-17
2026-04-16 20:01:17+00:00,I stopped reformatting Word documents by hand after finding this tab,Stop fixing Word docs by hand — this tab does it instantly.,MakeUseOf,https://www.makeuseof.com/reformatting-word-documents-design-tab/,MSFT,2026-04-16,2026-04-17
2026-04-16 20:00:00+00:00,We found a $429 MacBook Pro that still pulls its weight,"Save $1,500+ on a MacBook Pro that can absolutely keep up",New York Post,https://nypost.com/2026/04/16/shopping/we-found-a-429-macbook-pro-that-still-pulls-its-weight/,MSFT,2026-04-16,2026-04-17
2026-04-16 19:54:30+00:00,Shoot Your Best Photos And Save $200 Off This Sony Alpha ZVE10 II Camera,"Sure, your phone comes with a camera or three built in, and it can take some pretty impressive images. But if you're really serious about your photography, you're going to need a real, dedicated camera. And this is your chance to get one and save over $200 wh…",redmondpie.com,https://www.redmondpie.com/shoot-your-best-photos-and-save-200-off-this-sony-alpha-zve10-ii-camera/,MSFT,2026-04-16,2026-04-16
2026-04-16 19:53:10+00:00,Microsoft and Stellantis want to use AI to help car owners,Digital services for brands from Jeep to Peugeot will feel the presence of AI.,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=181733052,MSFT,2026-04-16,2026-04-16
2026-04-16 19:52:00+00:00,The App Store Scammer Strikes Back,"Jeff Johnson: First, Virus Protection for Phone is back in the App Store! The App Store URL is the same, and the developer is the same, Virtual Advisors Limited. The app version history shows a large gap, with version 1.8 released in February 2025, before my …",Mjtsai.com,https://mjtsai.com/blog/2026/04/16/the-app-store-scammer-strikes-back/,MSFT,2026-04-16,2026-04-16
2026-04-16 19:51:50+00:00,macOS Post–MacBook Neo,Nicolas Magand: I wonder what will happen with millions of extra Mac users. Will the Neo help the Mac become a proper gaming platform? […] Will the popularity of the MacBook Neo be an opportunity for Apple to mobilise more third-party developers to build apps…,Mjtsai.com,https://mjtsai.com/blog/2026/04/16/macos-postmacbook-neo/,MSFT,2026-04-16,2026-04-16
2026-04-16 19:50:45+00:00,Microsoft Office 365 ProPlus – Online Installer 3.3.12,"Description: This small Script will download and install the Microsoft Office 365 Professional Plus including all the updates directly from the Microsoft CDN Server. IncludesWord, Excel, PowerPoint, Outlook, OneNote, Publisher, Access, Visio, Project, Proofin…",Rlsbb.to,https://post.rlsbb.to/microsoft-office-365-proplus-online-installer-3-3-12/,MSFT,2026-04-16,2026-04-16
2026-04-16 19:50:45+00:00,Windows 11 Enterprise/Iot Enterprise 25H2 Build 26200.8117 TPM Bypassed & Pre-Activated April 2026,"Description: Windows 11, version 25H2 is an enablement update that builds on the features of 24H2 by enabling new, “continuous innovation” features, rather than introducing entirely new features itself. Key updates include a Braille Viewer for the Narrator, i…",Rlsbb.to,https://post.rlsbb.to/windows-11-enterprise-iot-enterprise-25h2-build-26200-8117-tpm-bypassed-pre-activated-april-2026/,MSFT,2026-04-16,2026-04-16
2026-04-16 19:50:45+00:00,Windows 11 Education/Pro Education 25H2 Build 26200.8117 TPM Bypassed & Pre-Activated April 2026,"Description: Windows 11, version 25H2 is an enablement update that builds on the features of 24H2 by enabling new, “continuous innovation” features, rather than introducing entirely new features itself. Key updates include a Braille Viewer for the Narrator, i…",Rlsbb.to,https://post.rlsbb.to/windows-11-education-pro-education-25h2-build-26200-8117-tpm-bypassed-pre-activated-april-2026/,MSFT,2026-04-16,2026-04-16
